Номер заказа;Номер отправления;Принят в обработку;Дата отгрузки;Статус;Дата доставки;Сумма отправления;Код валюты отправления;Наименование товара;OZON id;Артикул;Итоговая стоимость товара;Код валюты товара;Количество;Стоимость доставки;Связанные отправления;Цена товара до скидок;Скидка %;Скидка руб;Акции;Объемный вес товаров, кг;Кластер отгрузки;Кластер доставки;Склад отгрузки;Регион доставки;Город доставки;Способ доставки;Сегмент клиента;Юридическое лицо;Способ оплаты;Штрихкод ювелирного изделия
72147942-0068;72147942-0068-1;25.05.2023 18:17;26.05.2023 13:00;Ожидает сборки;;719.00;RUB;Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали;803944569;НП26112022;719.00;RUB;1;;;1086.64;34%;367.64;Набор для подростков, Системная виртуальная скидка селлера;0.0;Новосибирск;Барнаул;НОВОСИБИРСК_РФЦ_НОВЫЙ;Алтайский Край;Барнаул;ПВЗ;Не премиум;нет;Ozon Карта;
0126577395-0014;0126577395-0014-2;25.05.2023 13:00;26.05.2023 15:00;Ожидает отгрузки;;719.00;RUB;Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали;803944569;НП26112022;719.00;RUB;1;;;1087.39;34%;368.39;Системная виртуальная скидка селлера, Набор для подростков;0.0;Екатеринбург;Тюмень;ЕКАТЕРИНБУРГ_РФЦ_НОВЫЙ;Тюменская Область;;ПВЗ;Премиум;нет;Ozon Карта;
0112459284-0050;0112459284-0050-1;25.05.2023 12:38;25.05.2023 18:00;Доставляется;;507.00;RUB;Серьги с натуральным жемчугом бижутерия серебро женские парные сережки пусеты гвоздики;924089702;СЖС05042023;507.00;RUB;1;;;1200.00;58%;693.00;Системная виртуальная скидка селлера, Хиты. О!Распродажа;0.0;Краснодар;Ростов;РОСТОВ-НА-ДОНУ_РФЦ;Ростовская Область;;ПВЗ;Не премиум;нет;Картой онлайн;
66269753-0088;66269753-0088-2;25.05.2023 11:24;26.05.2023 9:30;Ожидает отгрузки;;507.00;RUB;Серьги с натуральным жемчугом бижутерия серебро женские парные сережки пусеты гвоздики;924089702;СЖС05042023;507.00;RUB;1;;;1200.00;58%;693.00;Системная виртуальная скидка селлера, Хиты. О!Распродажа;0.0;;Новосибирск;ПУШКИНО_1_РФЦ;Новосибирская Область;Обь;ПВЗ;Не премиум;нет;Картой онлайн;
36552613-0203;36552613-0203-15;25.05.2023 8:35;26.05.2023 6:00;Ожидает отгрузки;;507.00;RUB;Серьги с натуральным жемчугом бижутерия серебро женские парные сережки пусеты гвоздики;924089702;СЖС05042023;507.00;RUB;1;;;1200.00;58%;693.00;Системная виртуальная скидка селлера, Хиты. О!Распродажа;0.0;Краснодар;Воронеж;РОСТОВ-НА-ДОНУ_РФЦ;Воронежская Область;Воронеж;ПВЗ;Не премиум;нет;Картой онлайн;
